X1,X2,Y
12,94,0
87,96,0
29,89,0
7,41,0
65,77,0
83,97,0
16,97,0
55,19,0
24,70,0
7,27,0
35,75,0
100,34,0
33,99,0
54,83,0
58,88,0
19,54,0
52,39,1
73,91,0
52,60,1
6,48,0
86,42,0
32,87,0
12,52,0
8,36,0
56,63,1
38,75,0
73,41,1
74,93,0
55,60,1
56,86,0
53,16,0
59,66,1
11,39,0
12,71,0
7,92,0
21,14,0
46,0,0
55,57,1
55,62,1
32,1,0
31,60,1
81,23,0
59,18,0
79,2,0
80,82,0
49,73,1
90,91,0
62,80,0
78,26,0
51,59,1
42,43,1
45,38,1
59,41,1
92,43,0
98,49,0
39,59,1
32,20,0
27,31,1
23,15,0
62,73,1
46,93,0
75,69,0
91,22,0
61,24,0
34,77,0
19,74,0
10,12,0
38,87,0
84,25,0
11,85,0
70,68,1
70,94,0
41,11,0
57,50,1
12,76,0
80,86,0
89,39,0
96,35,0
45,75,0
72,89,0
40,2,0
72,49,1
66,6,0
13,12,0
17,0,0
89,89,0
7,32,0
12,94,0
23,35,0
58,55,1
78,15,0
1,87,0
78,53,0
72,93,0
89,73,0
38,95,0
24,41,0
18,91,0
55,77,0
81,13,0
12,32,0
