X1,X2,Y
53,80,0
69,72,0
13,78,1
35,86,1
77,57,0
71,6,0
5,24,1
15,12,1
29,83,1
26,94,1
96,52,0
99,30,0
47,95,1
99,18,0
16,49,1
84,47,0
99,0,0
71,45,0
32,100,1
38,43,1
32,96,1
87,76,0
63,94,0
67,80,0
89,65,0
2,42,1
54,46,0
18,62,1
78,74,0
46,41,1
36,38,1
90,14,0
5,45,1
29,13,1
44,46,1
100,89,0
5,90,1
33,51,1
17,63,1
18,76,1
80,69,0
9,69,1
55,99,0
79,30,0
99,19,0
59,16,0
55,60,0
12,30,1
79,27,0
57,7,0
35,95,1
77,65,0
89,56,0
14,36,1
54,57,0
95,26,0
50,24,0
90,21,0
90,77,0
46,24,1
88,38,0
96,61,0
1,28,1
97,41,0
49,84,1
76,5,0
87,32,0
93,87,0
67,8,0
24,52,1
76,16,0
4,45,1
62,19,0
31,59,1
71,32,0
25,96,1
79,48,0
84,13,0
82,7,0
26,12,1
39,50,1
72,53,0
62,89,0
81,52,0
59,46,0
38,10,1
38,37,1
50,46,0
87,99,0
1,1,1
43,1,1
100,65,0
81,98,0
89,91,0
99,10,0
49,93,1
94,7,0
18,56,1
63,7,0
36,38,1
29,27,1
