X1,X2,Y
56,52,1
79,22,1
100,66,1
8,49,0
100,75,1
40,2,0
9,5,0
18,77,0
43,11,0
45,0,0
47,65,1
2,89,0
18,53,0
42,89,1
74,0,0
67,4,0
85,0,0
36,9,0
60,31,0
4,57,0
24,27,0
11,64,0
19,39,0
55,83,1
45,24,0
82,87,1
76,33,1
51,50,1
18,52,0
66,5,0
0,12,0
73,34,1
45,4,0
46,65,1
85,21,1
9,63,0
46,11,0
92,11,1
3,100,1
93,6,0
83,69,1
95,96,1
67,24,0
35,0,0
1,16,0
75,59,1
35,12,0
83,28,1
17,40,0
89,83,1
54,35,0
36,31,0
63,49,1
36,54,0
16,75,0
49,59,1
19,90,1
54,35,0
52,13,0
68,11,0
2,1,0
45,16,0
38,6,0
24,70,0
51,59,1
30,35,0
65,58,1
0,75,0
29,69,0
5,97,1
36,69,1
62,56,1
47,90,1
11,97,1
19,49,0
45,72,1
60,100,1
57,16,0
90,75,1
28,92,1
5,3,0
17,48,0
92,62,1
15,96,1
25,99,1
34,68,1
50,84,1
3,61,0
90,15,1
63,71,1
56,79,1
64,40,1
49,54,1
74,42,1
61,32,0
14,38,0
27,83,1
18,71,0
33,78,1
36,64,1
69,17,0
